company	legal_name	industry	hq_state	size_band	ats	careers_url	h1b_known	source	first_seen	notes
Swiggy	Bundl Technologies Private Limited	Consumer Internet, Marketplaces and D2C	Karnataka	large	smartrecruiters	https://jobs.smartrecruiters.com/swiggy	n/a	india-consumer-search;smartrecruiters-probe(500)	2026-09-18	region:india; Bengaluru HQ; food/quick-commerce delivery
Cars24	?	Consumer Internet, Marketplaces and D2C	Haryana	large	smartrecruiters	https://jobs.smartrecruiters.com/cars24	n/a	india-consumer-search;smartrecruiters-probe(5)	2026-09-18	region:india; Gurugram HQ; used-car marketplace
RebelFoods	?	Consumer Internet, Marketplaces and D2C	Maharashtra	large	smartrecruiters	https://jobs.smartrecruiters.com/rebelfoods	n/a	india-consumer-search;smartrecruiters-probe(4)	2026-09-18	region:india; Mumbai HQ; cloud-kitchen network
Turing	?	India Venture-backed Startups (Series A-D)	CA	mid	greenhouse	https://boards.greenhouse.io/turing	n/a	india-startup-search;greenhouse-probe(42)	2026-09-18	region:india; dual HQ Palo Alto CA / Bengaluru, remote-first AI/dev talent cloud, real India hiring
Whatfix	Whatfix, Inc.	India Venture-backed Startups (Series A-D)	Karnataka	mid	smartrecruiters	https://jobs.smartrecruiters.com/whatfix	n/a	india-startup-search;smartrecruiters-probe(5)	2026-09-18	region:india; dual HQ San Francisco CA / Bengaluru; digital adoption platform
ObserveAI	Observe.AI, Inc.	India Venture-backed Startups (Series A-D)	Karnataka	mid	greenhouse	https://boards.greenhouse.io/observeai	n/a	india-startup-search;greenhouse-probe(15)	2026-09-18	region:india; dual HQ San Francisco CA / Bengaluru; conversation intelligence/AI
Porter	?	India Venture-backed Startups (Series A-D)	Karnataka	large	greenhouse	https://boards.greenhouse.io/porter	n/a	india-startup-search;greenhouse-probe(10)	2026-09-18	region:india; Bengaluru HQ; logistics marketplace; also resolves lever(25)
Unacademy	Sorting Hat Technologies Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	mid	smartrecruiters	https://jobs.smartrecruiters.com/unacademy	n/a	india-startup-search;smartrecruiters-probe(15)	2026-09-18	region:india; Bengaluru HQ; edtech
Druva	Druva Inc.	India Venture-backed Startups (Series A-D)	Maharashtra	mid	greenhouse	https://boards.greenhouse.io/druva	n/a	india-startup-search;greenhouse-probe(38)	2026-09-18	region:india; dual HQ Santa Clara CA / Pune; data protection/backup SaaS
HevoData	Hevo Data, Inc.	India Venture-backed Startups (Series A-D)	Karnataka	startup	lever	https://jobs.lever.co/hevodata	n/a	india-startup-search;lever-probe(47)	2026-09-18	region:india; Bengaluru HQ (US entity SF); data pipeline SaaS
NoBroker	NoBroker Technologies Solutions Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	mid	smartrecruiters	https://jobs.smartrecruiters.com/nobroker	n/a	india-startup-search;smartrecruiters-probe(5)	2026-09-18	region:india; Bengaluru HQ; real estate marketplace
Upstox	?	Fintech and Payments	Maharashtra	mid	smartrecruiters	https://jobs.smartrecruiters.com/upstox	n/a	india-fintech-search;smartrecruiters-probe(5)	2026-09-18	region:india; Mumbai HQ; retail broking/investing platform
BharatPe	Resilient Innovations Private Limited	Fintech and Payments	Delhi	mid	unknown	https://bharatpe.com/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Delhi HQ; merchant payments/lending; no greenhouse/ashby/lever/smartrecruiters board found, vanity URL kept
PineLabs	Pine Labs Limited	Fintech and Payments	Uttar Pradesh	large	unknown	https://www.pinelabs.com/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Noida HQ; merchant commerce/payments infra; no vendor resolved
Juspay	Juspay Technologies Private Limited	Fintech and Payments	Karnataka	mid	unknown	https://juspay.io/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; payments orchestration infra; no vendor resolved
Cashfree	Cashfree Payments India Private Limited	Fintech and Payments	Karnataka	mid	unknown	https://www.cashfree.com/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; payments infra; no vendor resolved
MoneyView	Whizdm Innovations Private Limited	Fintech and Payments	Karnataka	mid	unknown	https://www.moneyview.in/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; consumer lending; no vendor resolved
Fibe	EarlySalary Services Private Limited (dba Fibe)	Fintech and Payments	Maharashtra	mid	unknown	https://fibe.in/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Pune HQ; consumer lending; no vendor resolved
Jupiter	Amica Financial Technologies Private Limited (dba Jupiter)	Fintech and Payments	Maharashtra	mid	unknown	https://jupiter.money/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Mumbai HQ; neobank; no vendor resolved
OneCard	FPL Technologies Private Limited	Fintech and Payments	Maharashtra	mid	unknown	https://www.getonecard.app/careers	n/a	india-fintech-search;no-vendor-resolved	2026-09-18	region:india; Pune HQ; credit card/consumer fintech; no vendor resolved
Zomato	Eternal Limited (formerly Zomato Limited)	Consumer Internet, Marketplaces and D2C	Haryana	large	unknown	https://www.zomato.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Gurugram HQ; food delivery/quick commerce; parent renamed Eternal Limited; no vendor resolved
Nykaa	FSN E-Commerce Ventures Limited	Consumer Internet, Marketplaces and D2C	Maharashtra	large	unknown	https://www.nykaa.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Mumbai HQ; beauty/fashion e-commerce; no vendor resolved
PhonePe	PhonePe Private Limited	Consumer Internet, Marketplaces and D2C	Karnataka	large	unknown	https://www.phonepe.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; payments/consumer commerce super-app; no vendor resolved
BigBasket	Innovative Retail Concepts Private Limited	Consumer Internet, Marketplaces and D2C	Karnataka	large	unknown	https://www.bigbasket.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; online grocery; no vendor resolved
CarDekho	Girnar Software Private Limited	Consumer Internet, Marketplaces and D2C	Rajasthan	mid	unknown	https://www.cardekho.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Jaipur HQ; auto marketplace; no vendor resolved
Honasa	Honasa Consumer Limited (Mamaearth)	Consumer Internet, Marketplaces and D2C	Haryana	mid	unknown	https://www.honasa.in/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Gurugram HQ; D2C personal care (public co); no vendor resolved
boAt	Imagine Marketing Limited	Consumer Internet, Marketplaces and D2C	Delhi	mid	unknown	https://www.boat-lifestyle.com/pages/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Delhi HQ; D2C consumer electronics; no vendor resolved
Zepto	Kiranakart Technologies Private Limited (dba Zepto)	Consumer Internet, Marketplaces and D2C	Maharashtra	large	unknown	https://www.zeptonow.com/careers	n/a	india-consumer-search;no-vendor-resolved	2026-09-18	region:india; Mumbai HQ; quick commerce; no vendor resolved
PharmEasy	API Holdings Private Limited (dba PharmEasy)	India Venture-backed Startups (Series A-D)	Maharashtra	large	unknown	https://pharmeasy.in/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Mumbai HQ; healthtech/online pharmacy; no vendor resolved
Vedantu	Vedantu Innovations Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	mid	unknown	https://www.vedantu.com/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; edtech; no vendor resolved
PhysicsWallah	Physics Wallah Private Limited	India Venture-backed Startups (Series A-D)	Uttar Pradesh	mid	unknown	https://www.pw.live/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Noida HQ; edtech unicorn; no vendor resolved
Postman	Postman, Inc.	India Venture-backed Startups (Series A-D)	Karnataka	mid	unknown	https://www.postman.com/company/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ San Francisco CA / Bengaluru; API platform; tried postman/getpostman/postmaninc slugs, none resolved
Hasura	Hasura Inc.	India Venture-backed Startups (Series A-D)	Karnataka	startup	unknown	https://hasura.io/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ San Francisco CA / Bengaluru; GraphQL/data API platform; no vendor resolved
Clevertap	CleverTap, Inc.	India Venture-backed Startups (Series A-D)	Maharashtra	mid	unknown	https://clevertap.com/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ San Francisco CA / Mumbai; customer engagement platform; no vendor resolved
MoEngage	MoEngage, Inc.	India Venture-backed Startups (Series A-D)	Karnataka	mid	unknown	https://www.moengage.com/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ San Francisco CA / Bengaluru; customer engagement platform; no vendor resolved
Darwinbox	Darwinbox Digital Solutions Private Limited	India Venture-backed Startups (Series A-D)	Telangana	mid	unknown	https://darwinbox.com/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Hyderabad HQ; HR tech/HCM SaaS; no vendor resolved
Uniphore	Uniphore Technologies Inc.	India Venture-backed Startups (Series A-D)	Tamil Nadu	mid	unknown	https://uniphore.com/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ Palo Alto CA / Chennai; conversational/agentic AI; no vendor resolved
Amagi	Amagi Media Labs Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	mid	unknown	https://amagi.com/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ New York / Bengaluru; cloud broadcast/streaming tech; no vendor resolved
Rocketlane	Rocketlane Corp.	India Venture-backed Startups (Series A-D)	Tamil Nadu	startup	unknown	https://www.rocketlane.com/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; dual HQ San Francisco CA / Chennai; customer onboarding SaaS; no vendor resolved
Sprinto	?	India Venture-backed Startups (Series A-D)	Karnataka	startup	unknown	https://sprinto.com/careers/	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; security/compliance automation; no vendor resolved
Rapido	Roppen Transportation Services Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	large	unknown	https://rapido.bike/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; bike-taxi/mobility platform; no vendor resolved
ShareChat	Mohalla Tech Private Limited	India Venture-backed Startups (Series A-D)	Karnataka	mid	unknown	https://sharechat.com/careers	n/a	india-startup-search;no-vendor-resolved	2026-09-18	region:india; Bengaluru HQ; social/content platform; no vendor resolved
