company	legal_name	title	url	jd_path	track	score	band	visa_verdict	comp_estimate	comp_source	portfolio_url	tracker_row
Magma Consultancy	Magma Consultancy (brand; legal entity not confirmed)	Founder's Office - Chief of Staff, Strategy and Operations	https://cutshort.io/job/Founder-s-Office-Chief-of-Staff-Strategy-Operations-Mumbai-Worli-Mumbai-Bengaluru-Bangalore-magma-consultancy-dL96JEoP	jds/magma-consultancy-founder-s-office-chief-of-staff-strategy-and-operations.md	india	3.3	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhithyabhaskar.vercel.app/ref/magma-consultancy	109
Groww	Groww (Billionbrains Garage Ventures Pvt. Ltd.)	Head of Growth	https://www.instahyre.com/job-29023-head-of-growth-at-groww-2-bangalore/	jds/groww-head-of-growth.md	india	3.3	no_deck	NOT-NEEDED	unconfirmed, estimated 35-55 LPA (Groww is a well-funded, large-scale fintech; no company-specific Head of Growth figure found -- generic 'Head Growth and Strategy' market data average ~12 LPA / 90th pct ~38 LPA likely understates a unicorn-scale leadership role)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth.vercel.app/ref/groww	110
? (PE-backed healthcare, via Michael Page)	?	Chief of Staff to Group CEO	https://www.linkedin.com/posts/vineet-mehta-4065b360_cos-ceos-office-activity-7496229072373440512-odPi?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/unknown-employer-via-michael-page-chief-of-staff-vadodara.md	india	3.3	no_deck	NOT-NEEDED	Likely above floor, ~45-70+ LPA plausible	Michael Page req JN-082026-7087476, strategy-firm-cohort benchmark, unconfirmed	https://adhithyabhaskar.vercel.app/ref/michael-page	224
Affirm	Affirm, Inc.	Senior Product Manager, Checkout	https://job-boards.greenhouse.io/affirm/jobs/7929523003	jds/affirm-senior-product-manager-checkout.md	us	3.3	no_deck	SPONSOR	$195,000-$255,000 (CA/WA/NY/NJ/CT); $173,000-$233,000 (other US)	JD stated	https://adhi-product-ai.vercel.app/ref/affirm	
Affirm	Affirm, Inc.	Staff Product Manager, Affirm Bank	https://job-boards.greenhouse.io/affirm/jobs/7694938003	jds/affirm-staff-product-manager-affirm-bank.md	us	3.3	no_deck	SPONSOR	$230,000-$290,000 (CA/WA/NY/NJ/CT); $204,000-$264,000 (other US)	JD stated	https://adhi-product-ai.vercel.app/ref/affirm	
Veeva Systems	Veeva Systems Inc.	Product Marketing Associate Manager - Commercial Content	https://jobs.lever.co/veeva/9e66f563-e3ea-4587-a691-80ca3b3836de	jds/veeva-systems-product-marketing-associate-manager-commercial-content.md	us	3.2	no_deck	BUILD	unknown (TIER-1, same employer verdict as row 102)	data/visa-cache.tsv	https://adhi-product.vercel.app/ref/veeva-systems	113
Plaid	Plaid Inc.	Staff Product Manager - Internal AI	https://jobs.ashbyhq.com/plaid/1d5a1e7c-9dd9-45fb-a06c-274bc76f8561	jds/plaid-staff-product-manager-internal-ai.md	us	3.2	no_deck	SPONSOR/BUILD	$207.6K-$339.6K + equity	JD	https://adhi-product-ai.vercel.app/ref/plaid	209
Percona	Percona LLC	Revenue Operations Analyst Manager	https://jobs.ashbyhq.com/percona/7d2fb5f0-2c7f-4e29-9657-568980060634	jds/percona-revenue-operations-analyst-manager.md	us	3.2	no_deck	BUILD (downgrade)	unknown - no advertised figure	none available	https://adhithyabhaskar.vercel.app/ref/percona	186
Mainstreet	Mainstreet (brand; legal entity not confirmed)	Head of Growth	https://www.instahyre.com/job-220807-head-of-growth-at-mainstreet-mumbai/	jds/mainstreet-head-of-growth.md	india	3.2	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/mainstreet	112
Intel	Intel Corporation	Intel Foundry Strategic Marketing	https://www.linkedin.com/jobs/view/4459465025	jds/intel-foundry-strategic-marketing.md	us	3.2	no_deck	SPONSOR	$175,620-$247,930 -- JD stated	JD (stated range)	https://adhi-product.vercel.app/ref/intel	123
CrowdStrike	CrowdStrike, Inc.	Sr. Competitive Intelligence Analyst, Exposure Management (Remote)	https://www.linkedin.com/jobs/view/4458898868	jds/crowdstrike-sr-competitive-intelligence-analyst-exposure-management.md	us	3.2	no_deck	SPONSOR	$145,000-$220,000 (US)	JD stated	https://adhithyabhaskar.vercel.app/ref/crowdstrike	253
Center for AI Safety	Center for AI Safety, Inc. (dba CAIS)	Product Manager, Agentic Products	https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4342209009	jds/center-for-ai-safety-product-manager-agentic-products.md	us	3.2	no_deck	SPONSOR/BUILD	$170,000-$220,000	JD stated	https://adhi-product-ai.vercel.app/ref/center-for-ai-safety	225
? (marketing agency, masked)	?	Chief of Staff to the CEO	https://www.linkedin.com/posts/madhuri-kalburgi_we-are-hiring-for-the-position-of-chief-of-activity-7495355502021865472-FM5P?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/leading-marketing-agencies-chief-of-staff-to-the-ceo.md	india	3.2	no_deck	NOT-NEEDED	Uncertain, likely 15-30 LPA	AmbitionBox/general India CoS benchmark, unconfirmed	https://adhithyabhaskar.vercel.app/ref/marketing-agency	221
Avataar Skincare Technologies	Avataar Skincare Technologies	Founder's Office	https://www.linkedin.com/jobs/view/4468529702	jds/avataar-skincare-technologies-founders-office.md	india	3.2	no_deck	NOT-NEEDED	unknown (no company-specific data found)	india-salary-check-2-queries	https://adhithyabhaskar.vercel.app/ref/avataar-skincare-technologies	
Tranzact	Tranzact (brand; legal entity not confirmed)	Head of Growth	https://www.instahyre.com/job-145488-head-of-growth-at-tranzact-mumbai/	jds/tranzact-head-of-growth.md	india	3.1	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/tranzact	114
Taglynk	Taglynk	Founder's Office (CEO's Office)	https://www.linkedin.com/jobs/view/4458890010/	jds/taglynk-founder-s-office-ceo-s-office.md	india	3.1	no_deck	NOT-NEEDED	unknown (consulting-background CEO/Founder Office market band ~30-60 LPA plausible)	WebSearch (6figr Founder's Office consulting-band aggregate)	https://adhithyabhaskar.vercel.app/ref/taglynk	265
ScaleAI	Scale AI, Inc.	Staff Product Manager, Gen AI	https://job-boards.greenhouse.io/scaleai/jobs/4675842005	jds/scaleai-staff-product-manager-gen-ai.md	us	3.1	no_deck	SPONSOR	$171,200-$214,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/scale-ai	166
Pigment	Pigment Inc.	Product Marketing Manager	https://jobs.lever.co/pigment/9e3836bc-a7f7-4121-be7a-07520d99a425	jds/pigment-product-marketing-manager.md	us	3.1	no_deck	BUILD (downgrade)	unknown (TIER-3: sponsor history unconfirmed)	data/visa-cache.tsv	https://adhi-product.vercel.app/ref/pigment	115
Happen Bank	LendingClub Bank, National Association (dba Happen Bank)	Credit Strategy & Pricing Manager	https://www.linkedin.com/jobs/view/4451005189	jds/happen-bank-credit-strategy-pricing-manager.md	us	3.1	no_deck	SPONSOR	$136,000-$155,000 base -- JD stated	JD (stated range)	https://adhi-pricing-ai.vercel.app/ref/happen-bank	125
Drata	Drata, Inc.	Senior Product Manager	https://www.linkedin.com/jobs/view/4460531302	jds/drata-senior-product-manager.md	us	3.1	no_deck	SPONSOR	$157,000-$252,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/drata	137
Brex	Brex, Inc.	Senior Product Manager, AI	https://www.brex.com/careers/8780827002?gh_jid=8780827002	jds/brex-senior-product-manager-ai.md	us	3.1	no_deck	SPONSOR	$184,000-$230,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/brex	184
Airwallex	Airwallex US, LLC	Senior Associate, Strategy & Operations, CEO Office	https://jobs.ashbyhq.com/airwallex/dd884a82-cf4f-445c-bbf0-506d62eb8c27	jds/airwallex-senior-associate-strategy-and-operations-ceo-office.md	us	3.1	no_deck	SPONSOR/BUILD	avg $212,625 across 51 filings (cached)	visa-cache	https://adhithyabhaskar.vercel.app/ref/airwallex	245
hive.co	hive.co	Revenue Operations Manager	https://jobs.ashbyhq.com/hive.co/4e83cf48-d1fd-456b-a2ae-99239554968c	jds/hive-co-revenue-operations-manager.md	us	3.0	no_deck	BUILD (downgrade)	unknown - no advertised figure, entity unconfirmed	none available	https://adhithyabhaskar.vercel.app/ref/hive-co	185
Safle	Safle (brand; legal entity not confirmed)	Head of Growth	https://www.instahyre.com/job-344579-head-of-growth-at-safle-work-from-home/	jds/safle-head-of-growth.md	india	3	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/safle	117
Plaid	Plaid Inc.	Partner Marketing Manager (AI & Financial Partners)	https://jobs.ashbyhq.com/plaid/8efcc88b-48eb-486a-bf63-ff9143af7250	jds/plaid-partner-marketing-manager-ai-and-financial-partners.md	us	3.0	no_deck	SPONSOR/BUILD	$135.6K-$160.8K + equity	JD	https://adhi-product-ai.vercel.app/ref/plaid	208
Instahyre	Instahyre (brand; legal entity not confirmed)	Head of Growth	https://www.instahyre.com/job-11179-head-of-growth-at-instahyre-delhi/	jds/instahyre-head-of-growth.md	india	3	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/instahyre	116
Fivetran	Fivetran, Inc.	Product Manager - Integrations	https://www.linkedin.com/jobs/view/4433022955	jds/fivetran-product-manager-integrations.md	us	3.0	no_deck	SPONSOR	$181,670.83-$218,013.71 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/fivetran	135
Cyngn	Cyngn Inc.	Senior Product Manager, Cyngn Insight & Fleet Management	https://www.linkedin.com/jobs/view/4433020234	jds/cyngn-senior-product-manager-insight-fleet-management.md	us	3.0	no_deck	SPONSOR	$180,000-$200,000 -- JD stated	JD (stated range)	https://adhi-product-ai.vercel.app/ref/cyngn	133
Coral Academy	Coral Academy (brand; legal entity not confirmed)	Head of Growth	https://www.instahyre.com/job-390874-head-of-growth-at-coral-academy-work-from-home/	jds/coral-academy-head-of-growth.md	india	3	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/coral-academy	118
BukuKas	BukuKas (brand; legal entity not confirmed)	Head of Growth Product	https://www.instahyre.com/job-125335-head-of-growth-product-at-bukukas-bangalore/	jds/bukukas-head-of-growth-product.md	india	3	no_deck	NOT-NEEDED	unknown (no public CTC data found)	WebSearch (AmbitionBox/Glassdoor/6figr aggregates)	https://adhi-growth-ai.vercel.app/ref/bukukas	119
Sharon McMahon Education	Sharon McMahon Education LLC	Digital Marketing Manager	https://www.linkedin.com/jobs/view/4469041453	jds/sharon-mcmahon-education-digital-marketing-manager.md	us	3.0	no_deck	TIER-3	$102,000-$116,000/yr	JD	https://adhi-growth.vercel.app/ref/sharon-mcmahon-education	
